Date,Headline,HyperLinks,Tag,Text
12-Apr-17,Annie Maunder: Plaque to be erected for Strabane astronomer,http://www.bbc.co.uk/news/uk-northern-ireland-foyle-west-39576424,Foyle & West,
28-Sep-16,AB InBev-SAB Miller deal approved by shareholders,http://www.bbc.co.uk/news/business-37493119,Business,
7-Oct-15,SABMiller rejects latest Anheuser-Busch InBev offer,http://www.bbc.co.uk/news/business-34462476,Business,
4-Aug-16,AB InBev to cut up to 575 UK jobs in SABMiller takeover,http://www.bbc.co.uk/news/uk-england-surrey-36977261,Surrey,
17-Oct-18,Cannabis in Canada: Who wins and who loses under new law,https://www.bbc.co.uk/news/world-us-canada-45674260,US & Canada,
20-Jun-15,Mexico beer centre attack leaves 10 dead,http://www.bbc.co.uk/news/world-latin-america-33209778,Latin America & Caribbean,
16-Jan-12,Impeachment trial for top Philippine judge begins,http://www.bbc.co.uk/news/world-asia-16571057,Asia,
11-Oct-15,Clock ticking for AB InBev and SABMiller over deal,http://www.bbc.co.uk/news/business-34499645,Business,
17-Jul-13,Speedy tsunami seen on Sun's surface,http://www.bbc.co.uk/news/science-environment-23241896,Science & Environment,
2-Jul-13,Dead fish fill Mexico reservoir,http://www.bbc.co.uk/news/world-latin-america-23142553,Latin America & Caribbean,
16-Jan-18,Turpin case: Shackled California siblings 'victims of torture',http://www.bbc.co.uk/news/world-us-canada-42709489,US & Canada,
13-May-14,Saudi Arabia: Farmers flout Mers warning by kissing camels,http://www.bbc.co.uk/news/blogs-news-from-elsewhere-27393045,News from Elsewhere,
11-Nov-15,Beer giants AB InBev and SABMiller agree mega-merger,http://www.bbc.co.uk/news/business-34784926,Business,
26-Jul-16,AB InBev raises offer for SABMiller,http://www.bbc.co.uk/news/business-36892960,Business,
16-Aug-11,"Gig News! Coronas, Throwing Muses, Damon Albarn and more...",http://www.bbc.co.uk/blogs/acrosstheline/2011/08/gig_news_coronas_throwing_muse.html,Across the Line,
9-Mar-16,Total eclipse: Indonesia witnesses totality as Sun is blocked by the Moon,http://www.bbc.co.uk/news/science-environment-35756955,Science & Environment,
12-Dec-11,Philippines chief justice impeached by congress,http://www.bbc.co.uk/news/world-asia-16144786,Asia,
23-Nov-13,Ison: The comet of the century,http://www.bbc.co.uk/news/science-environment-25052236,Science & Environment,
29-Jul-16,SABMiller recommends revised AB InBev takeover offer,http://www.bbc.co.uk/news/business-36927296,Business,
4-Oct-16,Chasing the Sun: The woman forgotten by science,http://www.bbc.co.uk/news/science-environment-37496677,Science & Environment,
18-Aug-17,Solar eclipse 2017: What you need to know,http://www.bbc.co.uk/news/world-us-canada-40941341,US & Canada,
21-May-14,MoD rethinks new Salisbury Plain military homes plan,http://www.bbc.co.uk/news/uk-england-wiltshire-27503655,Wiltshire,
12-Oct-15,AB InBev makes higher offer for SABMiller,http://www.bbc.co.uk/news/business-34505589,Business,
8-Oct-15,InBev tells SABMiller: Don't let beer giant merger die,http://www.bbc.co.uk/news/business-34475404,Business,
3-Dec-15,AB InBev mulls Peroni and Grolsch sale in beer merger,http://www.bbc.co.uk/news/business-34993658,Business,
26-Feb-16,Apache to slash spending but prioritise North Sea operations,http://www.bbc.co.uk/news/uk-scotland-scotland-business-35673605,Scotland business,
18-Nov-15,Charity calls for 10p bottle deposit to reduce litter,http://www.bbc.co.uk/news/uk-wales-34846953,Wales,
2-Feb-17,Scientists record breach in magnetic field,http://www.bbc.co.uk/news/science-environment-38849147,Science & Environment,
17-May-10,Row over Philippines judge post,http://news.bbc.co.uk/1/hi/world/asia-pacific/8686791.stm,Asia-Pacific,
19-Apr-16,Peroni and Grolsch brands sold by AB InBev to Asahi,http://www.bbc.co.uk/news/business-36079368,Business,
1-Jul-13,Rocket camera catches Sun 'sparkles',http://www.bbc.co.uk/news/science-environment-23132751,Science & Environment,
